number,name,type1,type2,total,hp,attack,defense,sp_attack,sp_defense,speed,generation,legendary
59,Arcanine,FIRE,,555,90,110,80,100,80,95,1,false
60,Poliwag,WATER,,300,40,50,40,40,40,90,1,false
61,Poliwhirl,WATER,,385,65,65,65,50,50,90,1,false
62,Poliwrath,WATER,FIGHTING,510,90,95,95,70,90,70,1,false
63,Abra,PSYCHIC,,310,25,20,15,105,55,90,1,false
64,Kadabra,PSYCHIC,,400,40,35,30,120,70,105,1,false
65,Alakazam,PSYCHIC,,500,55,50,45,135,95,120,1,false
66,Machop,FIGHTING,,305,70,80,50,35,35,35,1,false
67,Machoke,FIGHTING,,405,80,100,70,50,60,45,1,false
68,Machamp,FIGHTING,,505,90,130,80,65,85,55,1,false
69,Bellsprout,GRASS,POISON,300,50,75,35,70,30,40,1,false
70,Weepinbell,GRASS,POISON,390,65,90,50,85,45,55,1,false
71,Victreebel,GRASS,POISON,490,80,105,65,100,70,70,1,false
72,Tentacool,WATER,POISON,335,40,40,35,50,100,70,1,false
73,Tentacruel,WATER,POISON,515,80,70,65,80,120,100,1,false
74,Geodude,ROCK,GROUND,300,40,80,100,30,30,20,1,false
75,Graveler,ROCK,GROUND,390,55,95,115,45,45,35,1,false
76,Golem,ROCK,GROUND,495,80,120,130,55,65,45,1,false
77,Ponyta,FIRE,,410,50,85,55,65,65,90,1,false
78,Rapidash,FIRE,,500,65,100,70,80,80,105,1,false
79,Slowpoke,WATER,PSYCHIC,315,90,65,65,40,40,15,1,false
80,Slowbro,WATER,PSYCHIC,490,95,75,110,100,80,30,1,false
81,Magnemite,ELECTRIC,STEEL,325,25,35,70,95,55,45,1,false
82,Magneton,ELECTRIC,STEEL,465,50,60,95,120,70,70,1,false
83,Farfetch'd,NORMAL,FLYING,352,52,90,55,58,62,60,1,false
84,Doduo,NORMAL,FLYING,310,35,85,45,35,35,75,1,false
85,Dodrio,NORMAL,FLYING,460,60,110,70,60,60,100,1,false
86,Seel,WATER,,325,65,45,55,45,70,45,1,false
87,Dewgong,WATER,ICE,475,90,70,80,70,95,70,1,false
88,Grimer,POISON,,325,80,80,50,40,50,25,1,false
89,Muk,POISON,,500,105,105,75,65,100,50,1,false
90,Shellder,WATER,,305,30,65,100,45,25,40,1,false
91,Cloyster,WATER,ICE,525,50,95,180,85,45,70,1,false
92,Gastly,GHOST,POISON,310,30,35,30,100,35,80,1,false
93,Haunter,GHOST,POISON,405,45,50,45,115,55,95,1,false
94,Gengar,GHOST,POISON,500,60,65,60,130,75,110,1,false
95,Onix,ROCK,GROUND,385,35,45,160,30,45,70,1,false
96,Drowzee,PSYCHIC,,328,60,48,45,43,90,42,1,false
97,Hypno,PSYCHIC,,483,85,73,70,73,115,67,1,false
98,Krabby,WATER,,325,30,105,90,25,25,50,1,false
99,Kingler,WATER,,475,55,130,115,50,50,75,1,false
100,Voltorb,ELECTRIC,,330,40,30,50,55,55,100,1,false
101,Electrode,ELECTRIC,,480,60,50,70,80,80,140,1,false
102,Exeggcute,GRASS,PSYCHIC,325,60,40,80,60,45,40,1,false
103,Exeggutor,GRASS,PSYCHIC,520,95,95,85,125,65,55,1,false
104,Cubone,GROUND,,320,50,50,95,40,50,35,1,false
105,Marowak,GROUND,,425,60,80,110,50,80,45,1,false
106,Hitmonlee,FIGHTING,,455,50,120,53,35,110,87,1,false
107,Hitmonchan,FIGHTING,,455,50,105,79,35,110,76,1,false
108,Lickitung,NORMAL,,385,90,55,75,60,75,30,1,false
109,Koffing,POISON,,340,40,65,95,60,45,35,1,false
110,Weezing,POISON,,490,65,90,120,85,70,60,1,false
111,Rhyhorn,GROUND,ROCK,345,80,85,95,30,30,25,1,false
112,Rhydon,GROUND,ROCK,485,105,130,120,45,45,40,1,false
113,Chansey,NORMAL,,450,250,5,5,35,105,50,1,false
114,Tangela,GRASS,,435,65,55,115,100,40,60,1,false
115,Kangaskhan,NORMAL,,490,105,95,80,40,80,90,1,false
116,Horsea,WATER,,295,30,40,70,70,25,60,1,false
117,Seadra,WATER,,440,55,65,95,95,45,85,1,false
118,Goldeen,WATER,,320,45,67,60,35,50,63,1,false
119,Seaking,WATER,,450,80,92,65,65,80,68,1,false
120,Staryu,WATER,,340,30,45,55,70,55,85,1,false
121,Starmie,WATER,PSYCHIC,520,60,75,85,100,85,115,1,false
122,Mr. Mime,PSYCHIC,FAIRY,460,40,45,65,100,120,90,1,false
123,Scyther,BUG,FLYING,500,70,110,80,55,80,105,1,false
124,Jynx,ICE,PSYCHIC,455,65,50,35,115,95,95,1,false
125,Electabuzz,ELECTRIC,,490,65,83,57,95,85,105,1,false
126,Magmar,FIRE,,495,65,95,57,100,85,93,1,false
127,Pinsir,BUG,,500,65,125,100,55,70,85,1,false
128,Tauros,NORMAL,,490,75,100,95,40,70,110,1,false
129,Magikarp,WATER,,200,20,10,55,15,20,80,1,false
130,Gyarados,WATER,FLYING,540,95,125,79,60,100,81,1,false
131,Lapras,WATER,ICE,535,130,85,80,85,95,60,1,false
132,Ditto,NORMAL,,288,48,48,48,48,48,48,1,false
133,Eevee,NORMAL,,325,55,55,50,45,65,55,1,false
134,Vaporeon,WATER,,525,130,65,60,110,95,65,1,false
135,Jolteon,ELECTRIC,,525,65,65,60,110,95,130,1,false
136,Flareon,FIRE,,525,65,130,60,95,110,65,1,false
137,Porygon,NORMAL,,395,65,60,70,85,75,40,1,false
138,Omanyte,ROCK,WATER,355,35,40,100,90,55,35,1,false
139,Omastar,ROCK,WATER,495,70,60,125,115,70,55,1,false
140,Kabuto,ROCK,WATER,355,30,80,90,55,45,55,1,false
141,Kabutops,ROCK,WATER,495,60,115,105,65,70,80,1,false
142,Aerodactyl,ROCK,FLYING,515,80,105,65,60,75,130,1,false
143,Snorlax,NORMAL,,540,160,110,65,65,110,30,1,false
144,Articuno,ICE,FLYING,580,90,85,100,95,125,85,1,true
145,Zapdos,ELECTRIC,FLYING,580,90,90,85,125,90,100,1,true
146,Moltres,FIRE,FLYING,580,90,100,90,125,85,90,1,true
147,Dratini,DRAGON,,300,41,64,45,50,50,50,1,false
148,Dragonair,DRAGON,,420,61,84,65,70,70,70,1,false
149,Dragonite,DRAGON,FLYING,600,91,134,95,100,100,80,1,false
150,Mewtwo,PSYCHIC,,680,106,110,90,154,90,130,1,true
151,Mew,PSYCHIC,,600,100,100,100,100,100,100,1,true
152,Chikorita,GRASS,,318,45,49,65,49,65,45,2,false
153,Bayleef,GRASS,,405,60,62,80,63,80,60,2,false
154,Meganium,GRASS,,525,80,82,100,83,100,80,2,false
155,Cyndaquil,FIRE,,309,39,52,43,60,50,65,2,false
156,Quilava,FIRE,,405,58,64,58,80,65,80,2,false
157,Typhlosion,FIRE,,534,78,84,78,109,85,100,2,false
158,Totodile,WATER,,314,50,65,64,44,48,43,2,false
159,Croconaw,WATER,,405,65,80,80,59,63,58,2,false
160,Feraligatr,WATER,,530,85,105,100,79,83,78,2,false
161,Sentret,NORMAL,,215,35,46,34,35,45,20,2,false
162,Furret,NORMAL,,415,85,76,64,45,55,90,2,false
163,Hoothoot,NORMAL,FLYING,262,60,30,30,36,56,50,2,false
164,Noctowl,NORMAL,FLYING,442,100,50,50,76,96,70,2,false
165,Ledyba,BUG,FLYING,265,40,20,30,40,80,55,2,false
166,Ledian,BUG,FLYING,390,55,35,50,55,110,85,2,false
167,Spinarak,BUG,POISON,250,40,60,40,40,40,30,2,false
168,Ariados,BUG,POISON,390,70,90,70,60,60,40,2,false
169,Crobat,POISON,FLYING,535,85,90,80,70,80,130,2,false
170,Chinchou,WATER,ELECTRIC,330,75,38,38,56,56,67,2,false
171,Lanturn,WATER,ELECTRIC,460,125,58,58,76,76,67,2,false
172,Pichu,ELECTRIC,,205,20,40,15,35,35,60,2,false
173,Cleffa,FAIRY,,218,50,25,28,45,55,15,2,false
174,Igglybuff,NORMAL,FAIRY,210,90,30,15,40,20,15,2,false
175,Togepi,FAIRY,,245,35,20,65,40,65,20,2,false
176,Togetic,FAIRY,FLYING,405,55,40,85,80,105,40,2,false
177,Natu,PSYCHIC,FLYING,320,40,50,45,70,45,70,2,false
178,Xatu,PSYCHIC,FLYING,470,65,75,70,95,70,95,2,false
179,Mareep,ELECTRIC,,280,55,40,40,65,45,35,2,false
180,Flaaffy,ELECTRIC,,365,70,55,55,80,60,45,2,false
181,Ampharos,ELECTRIC,,510,90,75,85,115,90,55,2,false
182,Bellossom,GRASS,,490,75,80,95,90,100,50,2,false
183,Marill,WATER,FAIRY,250,70,20,50,20,50,40,2,false
184,Azumarill,WATER,FAIRY,420,100,50,80,60,80,50,2,false
185,Sudowoodo,ROCK,,410,70,100,115,30,65,30,2,false
186,Politoed,WATER,,500,90,75,75,90,100,70,2,false
187,Hoppip,GRASS,FLYING,250,35,35,40,35,55,50,2,false
188,Skiploom,GRASS,FLYING,340,55,45,50,45,65,80,2,false
189,Jumpluff,GRASS,FLYING,460,75,55,70,55,95,110,2,false
190,Aipom,NORMAL,,360,55,70,55,40,55,85,2,false
191,Sunkern,GRASS,,180,30,30,30,30,30,30,2,false
192,Sunflora,GRASS,,425,75,75,55,105,85,30,2,false
193,Yanma,BUG,FLYING,390,65,65,45,75,45,95,2,false
194,Wooper,WATER,GROUND,210,55,45,45,25,25,15,2,false
195,Quagsire,WATER,GROUND,430,95,85,85,65,65,35,2,false
196,Espeon,PSYCHIC,,525,65,65,60,130,95,110,2,false
197,Umbreon,DARK,,525,95,65,110,60,130,65,2,false
198,Murkrow,DARK,FLYING,405,60,85,42,85,42,91,2,false
199,Slowking,WATER,PSYCHIC,490,95,75,80,100,110,30,2,false
200,Misdreavus,GHOST,,435,60,60,60,85,85,85,2,false
201,Unown,PSYCHIC,,336,48,72,48,72,48,48,2,false
202,Wobbuffet,PSYCHIC,,405,190,33,58,33,58,33,2,false
203,Girafarig,NORMAL,PSYCHIC,455,70,80,65,90,65,85,2,false
204,Pineco,BUG,,290,50,65,90,35,35,15,2,false
205,Forretress,BUG,STEEL,465,75,90,140,60,60,40,2,false
206,Dunsparce,NORMAL,,415,100,70,70,65,65,45,2,false
207,Gligar,GROUND,FLYING,430,65,75,105,35,65,85,2,false
208,Steelix,STEEL,GROUND,510,75,85,200,55,65,30,2,false
209,Snubbull,FAIRY,,300,60,80,50,40,40,30,2,false
210,Granbull,FAIRY,,450,90,120,75,60,60,45,2,false
211,Qwilfish,WATER,POISON,430,65,95,75,55,55,85,2,false
212,Scizor,BUG,STEEL,500,70,130,100,55,80,65,2,false
213,Shuckle,BUG,ROCK,505,20,10,230,10,230,5,2,false
214,Heracross,BUG,FIGHTING,500,80,125,75,40,95,85,2,false
215,Sneasel,DARK,ICE,430,55,95,55,35,75,115,2,false
216,Teddiursa,NORMAL,,330,60,80,50,50,50,40,2,false
217,Ursaring,NORMAL,,500,90,130,75,75,75,55,2,false
218,Slugma,FIRE,,250,40,40,40,70,40,20,2,false
219,Magcargo,FIRE,ROCK,410,50,50,120,80,80,30,2,false
220,Swinub,ICE,GROUND,250,50,50,40,30,30,50,2,false
221,Piloswine,ICE,GROUND,450,100,100,80,60,60,50,2,false
222,Corsola,WATER,ROCK,380,55,55,85,65,85,35,2,false
223,Remoraid,WATER,,300,35,65,35,65,35,65,2,false
224,Octillery,WATER,,480,75,105,75,105,75,45,2,false
225,Delibird,ICE,FLYING,330,45,55,45,65,45,75,2,false
226,Mantine,WATER,FLYING,465,65,40,70,80,140,70,2,false
227,Skarmory,STEEL,FLYING,465,65,80,140,40,70,70,2,false
228,Houndour,DARK,FIRE,330,45,60,30,80,50,65,2,false
229,Houndoom,DARK,FIRE,500,75,90,50,110,80,95,2,false
230,Kingdra,WATER,DRAGON,540,75,95,95,95,95,85,2,false
231,Phanpy,GROUND,,330,90,60,60,40,40,40,2,false
232,Donphan,GROUND,,500,90,120,120,60,60,50,2,false
233,Porygon2,NORMAL,,515,85,80,90,105,95,60,2,false
234,Stantler,NORMAL,,465,73,95,62,85,65,85,2,false
235,Smeargle,NORMAL,,250,55,20,35,20,45,75,2,false
236,Tyrogue,FIGHTING,,210,35,35,35,35,35,35,2,false
237,Hitmontop,FIGHTING,,455,50,95,95,35,110,70,2,false
238,Smoochum,ICE,PSYCHIC,305,45,30,15,85,65,65,2,false
239,Elekid,ELECTRIC,,360,45,63,37,65,55,95,2,false
240,Magby,FIRE,,365,45,75,37,70,55,83,2,false
241,Miltank,NORMAL,,490,95,80,105,40,70,100,2,false
242,Blissey,NORMAL,,540,255,10,10,75,135,55,2,false
243,Raikou,ELECTRIC,,580,90,85,75,115,100,115,2,true
244,Entei,FIRE,,580,115,115,85,90,75,100,2,true
245,Suicune,WATER,,580,100,75,115,90,115,85,2,true
246,Larvitar,ROCK,GROUND,300,50,64,50,45,50,41,2,false
247,Pupitar,ROCK,GROUND,410,70,84,70,65,70,51,2,false
248,Tyranitar,ROCK,DARK,600,100,134,110,95,100,61,2,false
249,Lugia,PSYCHIC,FLYING,680,106,90,130,90,154,110,2,true
250,Ho-oh,FIRE,FLYING,680,106,130,90,110,154,90,2,true
251,Celebi,PSYCHIC,GRASS,600,100,100,100,100,100,100,2,true
252,Treecko,GRASS,,310,40,45,35,65,55,70,3,false
253,Grovyle,GRASS,,405,50,65,45,85,65,95,3,false
254,Sceptile,GRASS,,530,70,85,65,105,85,120,3,false
255,Torchic,FIRE,,310,45,60,40,70,50,45,3,false
256,Combusken,FIRE,FIGHTING,405,60,85,60,85,60,55,3,false
257,Blaziken,FIRE,FIGHTING,530,80,120,70,110,70,80,3,false
258,Mudkip,WATER,,310,50,70,50,50,50,40,3,false
259,Marshtomp,WATER,GROUND,405,70,85,70,60,70,50,3,false
260,Swampert,WATER,GROUND,535,100,110,90,85,90,60,3,false
261,Poochyena,DARK,,220,35,55,35,30,30,35,3,false
262,Mightyena,DARK,,420,70,90,70,60,60,70,3,false
263,Zigzagoon,NORMAL,,240,38,30,41,30,41,60,3,false
264,Linoone,NORMAL,,420,78,70,61,50,61,100,3,false
265,Wurmple,BUG,,195,45,45,35,20,30,20,3,false
266,Silcoon,BUG,,205,50,35,55,25,25,15,3,false
267,Beautifly,BUG,FLYING,395,60,70,50,100,50,65,3,false
268,Cascoon,BUG,,205,50,35,55,25,25,15,3,false
269,Dustox,BUG,POISON,385,60,50,70,50,90,65,3,false
270,Lotad,WATER,GRASS,220,40,30,30,40,50,30,3,false
271,Lombre,WATER,GRASS,340,60,50,50,60,70,50,3,false
272,Ludicolo,WATER,GRASS,480,80,70,70,90,100,70,3,false
273,Seedot,GRASS,,220,40,40,50,30,30,30,3,false
274,Nuzleaf,GRASS,DARK,340,70,70,40,60,40,60,3,false
275,Shiftry,GRASS,DARK,480,90,100,60,90,60,80,3,false
276,Taillow,NORMAL,FLYING,270,40,55,30,30,30,85,3,false
277,Swellow,NORMAL,FLYING,430,60,85,60,50,50,125,3,false
278,Wingull,WATER,FLYING,270,40,30,30,55,30,85,3,false
279,Pelipper,WATER,FLYING,430,60,50,100,85,70,65,3,false
280,Ralts,PSYCHIC,FAIRY,198,28,25,25,45,35,40,3,false
281,Kirlia,PSYCHIC,FAIRY,278,38,35,35,65,55,50,3,false
282,Gardevoir,PSYCHIC,FAIRY,518,68,65,65,125,115,80,3,false
283,Surskit,BUG,WATER,269,40,30,32,50,52,65,3,false
284,Masquerain,BUG,FLYING,414,70,60,62,80,82,60,3,false
285,Shroomish,GRASS,,295,60,40,60,40,60,35,3,false
286,Breloom,GRASS,FIGHTING,460,60,130,80,60,60,70,3,false
287,Slakoth,NORMAL,,280,60,60,60,35,35,30,3,false
288,Vigoroth,NORMAL,,440,80,80,80,55,55,90,3,false
289,Slaking,NORMAL,,670,150,160,100,95,65,100,3,false
290,Nincada,BUG,GROUND,266,31,45,90,30,30,40,3,false
291,Ninjask,BUG,FLYING,456,61,90,45,50,50,160,3,false
292,Shedinja,BUG,GHOST,236,1,90,45,30,30,40,3,false
293,Whismur,NORMAL,,240,64,51,23,51,23,28,3,false
294,Loudred,NORMAL,,360,84,71,43,71,43,48,3,false
295,Exploud,NORMAL,,490,104,91,63,91,73,68,3,false
296,Makuhita,FIGHTING,,237,72,60,30,20,30,25,3,false
297,Hariyama,FIGHTING,,474,144,120,60,40,60,50,3,false
298,Azurill,NORMAL,FAIRY,190,50,20,40,20,40,20,3,false
299,Nosepass,ROCK,,375,30,45,135,45,90,30,3,false
300,Skitty,NORMAL,,260,50,45,45,35,35,50,3,false
301,Delcatty,NORMAL,,380,70,65,65,55,55,70,3,false
302,Sableye,DARK,GHOST,380,50,75,75,65,65,50,3,false
303,Mawile,STEEL,FAIRY,380,50,85,85,55,55,50,3,false
304,Aron,STEEL,ROCK,330,50,70,100,40,40,30,3,false
305,Lairon,STEEL,ROCK,430,60,90,140,50,50,40,3,false
306,Aggron,STEEL,ROCK,530,70,110,180,60,60,50,3,false
307,Meditite,FIGHTING,PSYCHIC,280,30,40,55,40,55,60,3,false
308,Medicham,FIGHTING,PSYCHIC,410,60,60,75,60,75,80,3,false
309,Electrike,ELECTRIC,,295,40,45,40,65,40,65,3,false
310,Manectric,ELECTRIC,,475,70,75,60,105,60,105,3,false
311,Plusle,ELECTRIC,,405,60,50,40,85,75,95,3,false
312,Minun,ELECTRIC,,405,60,40,50,75,85,95,3,false
313,Volbeat,BUG,,400,65,73,55,47,75,85,3,false
314,Illumise,BUG,,400,65,47,55,73,75,85,3,false
315,Roselia,GRASS,POISON,400,50,60,45,100,80,65,3,false
316,Gulpin,POISON,,302,70,43,53,43,53,40,3,false
317,Swalot,POISON,,467,100,73,83,73,83,55,3,false
318,Carvanha,WATER,DARK,305,45,90,20,65,20,65,3,false
319,Sharpedo,WATER,DARK,460,70,120,40,95,40,95,3,false
320,Wailmer,WATER,,400,130,70,35,70,35,60,3,false
321,Wailord,WATER,,500,170,90,45,90,45,60,3,false
322,Numel,FIRE,GROUND,305,60,60,40,65,45,35,3,false
323,Camerupt,FIRE,GROUND,460,70,100,70,105,75,40,3,false
324,Torkoal,FIRE,,470,70,85,140,85,70,20,3,false
325,Spoink,PSYCHIC,,330,60,25,35,70,80,60,3,false
326,Grumpig,PSYCHIC,,470,80,45,65,90,110,80,3,false
327,Spinda,NORMAL,,360,60,60,60,60,60,60,3,false
328,Trapinch,GROUND,,290,45,100,45,45,45,10,3,false
329,Vibrava,GROUND,DRAGON,340,50,70,50,50,50,70,3,false
330,Flygon,GROUND,DRAGON,520,80,100,80,80,80,100,3,false
331,Cacnea,GRASS,,335,50,85,40,85,40,35,3,false
332,Cacturne,GRASS,DARK,475,70,115,60,115,60,55,3,false
333,Swablu,NORMAL,FLYING,310,45,40,60,40,75,50,3,false
334,Altaria,DRAGON,FLYING,490,75,70,90,70,105,80,3,false
335,Zangoose,NORMAL,,458,73,115,60,60,60,90,3,false
336,Seviper,POISON,,458,73,100,60,100,60,65,3,false
337,Lunatone,ROCK,PSYCHIC,440,70,55,65,95,85,70,3,false
338,Solrock,ROCK,PSYCHIC,440,70,95,85,55,65,70,3,false
339,Barboach,WATER,GROUND,288,50,48,43,46,41,60,3,false
340,Whiscash,WATER,GROUND,468,110,78,73,76,71,60,3,false
341,Corphish,WATER,,308,43,80,65,50,35,35,3,false
342,Crawdaunt,WATER,DARK,468,63,120,85,90,55,55,3,false
343,Baltoy,GROUND,PSYCHIC,300,40,40,55,40,70,55,3,false
344,Claydol,GROUND,PSYCHIC,500,60,70,105,70,120,75,3,false
345,Lileep,ROCK,GRASS,355,66,41,77,61,87,23,3,false
346,Cradily,ROCK,GRASS,495,86,81,97,81,107,43,3,false
347,Anorith,ROCK,BUG,355,45,95,50,40,50,75,3,false
348,Armaldo,ROCK,BUG,495,75,125,100,70,80,45,3,false
349,Feebas,WATER,,200,20,15,20,10,55,80,3,false
350,Milotic,WATER,,540,95,60,79,100,125,81,3,false
351,Castform,NORMAL,,420,70,70,70,70,70,70,3,false
352,Kecleon,NORMAL,,440,60,90,70,60,120,40,3,false
353,Shuppet,GHOST,,295,44,75,35,63,33,45,3,false
354,Banette,GHOST,,455,64,115,65,83,63,65,3,false
355,Duskull,GHOST,,295,20,40,90,30,90,25,3,false
356,Dusclops,GHOST,,455,40,70,130,60,130,25,3,false
357,Tropius,GRASS,FLYING,460,99,68,83,72,87,51,3,false
358,Chimecho,PSYCHIC,,425,65,50,70,95,80,65,3,false
359,Absol,DARK,,465,65,130,60,75,60,75,3,false
360,Wynaut,PSYCHIC,,260,95,23,48,23,48,23,3,false
361,Snorunt,ICE,,300,50,50,50,50,50,50,3,false
362,Glalie,ICE,,480,80,80,80,80,80,80,3,false
363,Spheal,ICE,WATER,290,70,40,50,55,50,25,3,false
364,Sealeo,ICE,WATER,410,90,60,70,75,70,45,3,false
365,Walrein,ICE,WATER,530,110,80,90,95,90,65,3,false
366,Clamperl,WATER,,345,35,64,85,74,55,32,3,false
367,Huntail,WATER,,485,55,104,105,94,75,52,3,false
368,Gorebyss,WATER,,485,55,84,105,114,75,52,3,false
369,Relicanth,WATER,ROCK,485,100,90,130,45,65,55,3,false
370,Luvdisc,WATER,,330,43,30,55,40,65,97,3,false
371,Bagon,DRAGON,,300,45,75,60,40,30,50,3,false
372,Shelgon,DRAGON,,420,65,95,100,60,50,50,3,false
373,Salamence,DRAGON,FLYING,600,95,135,80,110,80,100,3,false
374,Beldum,STEEL,PSYCHIC,300,40,55,80,35,60,30,3,false
375,Metang,STEEL,PSYCHIC,420,60,75,100,55,80,50,3,false
376,Metagross,STEEL,PSYCHIC,600,80,135,130,95,90,70,3,false
377,Regirock,ROCK,,580,80,100,200,50,100,50,3,true
378,Regice,ICE,,580,80,50,100,100,200,50,3,true
379,Registeel,STEEL,,580,80,75,150,75,150,50,3,true
380,Latias,DRAGON,PSYCHIC,600,80,80,90,110,130,110,3,true
381,Latios,DRAGON,PSYCHIC,600,80,90,80,130,110,110,3,true
382,Kyogre,WATER,,670,100,100,90,150,140,90,3,true
383,Groudon,GROUND,,670,100,150,140,100,90,90,3,true
384,Rayquaza,DRAGON,FLYING,680,105,150,90,150,90,95,3,true
385,Jirachi,STEEL,PSYCHIC,600,100,100,100,100,100,100,3,true
386,Deoxys Normal Forme,PSYCHIC,,600,50,150,50,150,50,150,3,true
387,Turtwig,GRASS,,318,55,68,64,45,55,31,4,false
388,Grotle,GRASS,,405,75,89,85,55,65,36,4,false
389,Torterra,GRASS,GROUND,525,95,109,105,75,85,56,4,false
390,Chimchar,FIRE,,309,44,58,44,58,44,61,4,false
391,Monferno,FIRE,FIGHTING,405,64,78,52,78,52,81,4,false
392,Infernape,FIRE,FIGHTING,534,76,104,71,104,71,108,4,false
393,Piplup,WATER,,314,53,51,53,61,56,40,4,false
394,Prinplup,WATER,,405,64,66,68,81,76,50,4,false
395,Empoleon,WATER,STEEL,530,84,86,88,111,101,60,4,false
396,Starly,NORMAL,FLYING,245,40,55,30,30,30,60,4,false
397,Staravia,NORMAL,FLYING,340,55,75,50,40,40,80,4,false
398,Staraptor,NORMAL,FLYING,485,85,120,70,50,60,100,4,false
399,Bidoof,NORMAL,,250,59,45,40,35,40,31,4,false
400,Bibarel,NORMAL,WATER,410,79,85,60,55,60,71,4,false
401,Kricketot,BUG,,194,37,25,41,25,41,25,4,false
402,Kricketune,BUG,,384,77,85,51,55,51,65,4,false
403,Shinx,ELECTRIC,,263,45,65,34,40,34,45,4,false
404,Luxio,ELECTRIC,,363,60,85,49,60,49,60,4,false
405,Luxray,ELECTRIC,,523,80,120,79,95,79,70,4,false
406,Budew,GRASS,POISON,280,40,30,35,50,70,55,4,false
407,Roserade,GRASS,POISON,515,60,70,65,125,105,90,4,false
408,Cranidos,ROCK,,350,67,125,40,30,30,58,4,false
